id,journal_id,name,pmid,pmc,publisher_id,doi,subject,published_date,received_date,accepted_date,license_type,copyright_statement,keywords,repositories
1,1,"ElasticBLAST: accelerating sequence search via cloud computing",,10040096,5245,10.1186/s12859-023-05245-9,Software,2023-03-26,2023-01-04,2023-03-21,,"© This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply 2023","BLAST;Cloud computing;Alignment;Kubernetes;AWS Batch",https://github.com/ncbi/elastic-blast;https://github.com/ncbi/blast_plus_docs;https://github.com/ncbi/elastic-blast-demos
2,2,"Associations Between Dog Breed and Clinical Features of Mammary Epithelial Neoplasia in Bitches: an Epidemiological Study of Submissions to a Single Diagnostic Pathology Centre Between 2008–2021",36961631,10039094,9531,10.1007/s10911-023-09531-3,"Original Article",2023-03-24,2022-09-22,2023-02-25,,"© The Author(s) 2023",Canine;Mammary;Adenoma;Carcinoma;Complex;Mixed;Cancer,https://github.com/ge8793/Mammary_Public_Data
3,3,"A cooperative knock-on mechanism underpins Ca",36943243,10038842,jgp.202213226,10.1085/jgp.202213226,Article,2023-05-01,2022-07-25,2023-02-28,,"© 2023 Ives et al.","",https://github.com/cmives/Ca_selectivity_mechanism_of_TRPV_channels;https://github.com/drorlab/pensa
4,4,"Efficient isolation of rare B cells using next-generation antigen barcoding",,10036767,,10.3389/fcimb.2022.962945,"Cellular and Infection Microbiology",2023-03-10,2022-06-06,2022-12-28,,"Copyright © 2023 Hurtado, Flynn, Lee, Salcedo, Cottrell, Skog, Burton, Nemazee, Schief, Landais, Sok and Briney","antibody;BCR;immunology;single cell;multi-omics;humoral immunology;AIRR",https://github.com/briney/nextgen_agbc_paper
5,5,"Evidence for embracing normative modeling",36912775,10036120,85082,10.7554/eLife.85082,"Research Advance",2023-03-13,2022-11-28,2023-03-10,,"© 2023, Rutherford et al","brain charts;individual prediction;heterogeneity;functional neuroimaging;machine learning;computational psychiatry;Human",https://github.com/predictive-clinical-neuroscience/braincharts;https://github.com/saigerutherford/evidence_embracing_nm
6,6,"New workflow predicts drug targets against SARS-CoV-2 via metabolic changes in infected cells",36952396,10035753,PCOMPBIOL-D-22-01139,10.1371/journal.pcbi.1010903,"Research Article","",2022-07-27,2023-01-30,,"© 2023 Leonidou et al","",https://github.com/draeger-lab/pymCADRE
7,7,"Visualising data science workflows to support third-party notebook comprehension: an empirical study",,10034906,10289,10.1007/s10664-023-10289-9,Article,2023-03-23,"",2023-01-05,,"© The Author(s) 2023","Notebook comprehension;Program comprehension;Data science code;Data science workflow;Workflow visualisation;Garden of forking paths;Software visualisation;Jupyter notebooks",""
8,8,"Genetic variants and phenotype analysis in a five-generation Chinese pedigree with ",,10034091,,10.3389/fneur.2023.1107904,Neurology,2023-03-09,2022-11-25,2023-02-20,,"Copyright © 2023 Zhou, Ouyang, Ji, Xi and Zhao.","
          ;phenotype heterogeneity;pedigree;None;epilepsy",""
9,9,"Developing and reusing bioinformatics data analysis pipelines using scientific workflow systems",,10030817,,10.1016/j.csbj.2023.03.003,"Review Article",2023-03-07,2022-10-27,2023-03-03,,"© 2023 Published by Elsevier B.V. on behalf of Research Network of Computational and Structural Biotechnology.","Scientific workflows;Bioinformatics;Reuse;Reproducibility",https://github.com/ICAN-aneurysms/RIA-predict;https://github.com/r-blanchet/BAM_QC;https://github.com/mdjaffardjy/Snakemake_workflow_analysis;https://github.com/mdjaffardjy/AnalyseDonneesNextflow;https://github.com/mdjaffardjy/Reuse_in_processes
10,10,"RNA-activated protein cleavage with a CRISPR-associated endopeptidase",36423276,10028731,,10.1126/science.add7450,Article,2023-01-17,"","",,,"",""
