id,article_id,pmid,meshid,mesh_label,toplevelmeshid,toplevelmeshlabel
1,2,36961631,D004285,Dogs,B01,Eukaryota
2,2,36961631,D006801,Humans,B01,Eukaryota
3,2,36961631,D000818,Animals,B01,Eukaryota
4,2,36961631,D015674,"Mammary Neoplasms, Animal",C04,Neoplasms
5,2,36961631,D015674,"Mammary Neoplasms, Animal",C22,"Animal Diseases"
6,2,36961631,D002277,Carcinoma,C04,Neoplasms
7,2,36961631,D001943,"Breast Neoplasms",C04,Neoplasms
8,2,36961631,D001943,"Breast Neoplasms",C17,"Skin and Connective Tissue Diseases"
9,2,36961631,D016021,"Epidemiologic Studies",E05,"Investigative Techniques"
10,2,36961631,D016021,"Epidemiologic Studies",N05,"Health Care Quality, Access, and Evaluation"
11,2,36961631,D016021,"Epidemiologic Studies",N06,"Environment and Public Health"
12,2,36961631,D001947,Breeding,E05,"Investigative Techniques"
13,2,36961631,D001947,Breeding,G05,"Genetic Phenomena"
14,3,36943243,D002118,Calcium,D01,"Inorganic Chemicals"
15,3,36943243,D002118,Calcium,D23,"Biological Factors"
16,3,36943243,D050916,"TRPV Cation Channels",D12,"Amino Acids, Peptides, and Proteins"
17,3,36943243,D002412,Cations,D01,"Inorganic Chemicals"
18,3,36943243,D050051,"Transient Receptor Potential Channels",D12,"Amino Acids, Peptides, and Proteins"
19,3,36943243,D056004,"Molecular Dynamics Simulation",E05,"Investigative Techniques"
20,3,36943243,D056004,"Molecular Dynamics Simulation",G02,"Chemical Phenomena"
21,3,36943243,D056004,"Molecular Dynamics Simulation",L01,"Information Science"
22,3,36943243,D012964,Sodium,D01,"Inorganic Chemicals"
23,5,36912775,D006801,Humans,B01,Eukaryota
24,5,36912775,D008279,"Magnetic Resonance Imaging",E01,Diagnosis
25,5,36912775,D001921,Brain,A08,"Nervous System"
26,5,36912775,D012559,Schizophrenia,F03,"Mental Disorders"
27,5,36912775,D059906,Neuroimaging,E01,Diagnosis
28,5,36912775,D059906,Neuroimaging,E05,"Investigative Techniques"
29,6,36952396,D006801,Humans,B01,Eukaryota
30,6,36952396,D000086402,SARS-CoV-2,B04,Viruses
31,6,36952396,D000086382,COVID-19,C01,Infections
32,6,36952396,D000086382,COVID-19,C08,"Respiratory Tract Diseases"
33,6,36952396,D057188,Workflow,L01,"Information Science"
34,6,36952396,D000998,"Antiviral Agents",D27,"Chemical Actions and Uses"
35,6,36952396,D004847,"Epithelial Cells",A11,Cells
36,10,36423276,D006801,Humans,B01,Eukaryota
37,10,36423276,D064113,"CRISPR-Cas Systems",G05,"Genetic Phenomena"
38,10,36423276,D020285,"Cryoelectron Microscopy",E01,Diagnosis
39,10,36423276,D020285,"Cryoelectron Microscopy",E05,"Investigative Techniques"
40,10,36423276,D010450,Endopeptidases,D08,"Enzymes and Coenzymes"
41,10,36423276,D012329,"RNA, Bacterial",D13,"Nucleic Acids, Nucleotides, and Nucleosides"
42,10,36423276,D064130,"CRISPR-Associated Proteins",D12,"Amino Acids, Peptides, and Proteins"
43,10,36423276,D059748,Proteolysis,G02,"Chemical Phenomena"
44,10,36423276,D059748,Proteolysis,G03,Metabolism
45,10,36423276,D059748,Proteolysis,G03,"[OBSOLETE] Metabolic Phenomena"
46,10,36423276,D020564,Deltaproteobacteria,B03,Bacteria
47,10,36423276,D017394,"RNA, Guide, Kinetoplastida",D13,"Nucleic Acids, Nucleotides, and Nucleosides"
48,10,36423276,D012808,"Sigma Factor",D12,"Amino Acids, Peptides, and Proteins"
49,10,36423276,D014158,"Transcription, Genetic",G02,"Chemical Phenomena"
50,10,36423276,D014158,"Transcription, Genetic",G05,"Genetic Phenomena"
51,10,36423276,D013379,"Substrate Specificity",G02,"Chemical Phenomena"
52,10,36423276,D000494,"Allosteric Regulation",G02,"Chemical Phenomena"
53,10,36423276,D001426,"Bacterial Proteins",D12,"Amino Acids, Peptides, and Proteins"
54,10,36423276,D004789,"Enzyme Activation",G02,"Chemical Phenomena"
55,10,36423276,D004789,"Enzyme Activation",G03,Metabolism
56,10,36423276,D004789,"Enzyme Activation",G03,"[OBSOLETE] Metabolic Phenomena"
57,13,35513768,D006801,Humans,B01,Eukaryota
58,13,35513768,D012984,Software,L01,"Information Science"
59,13,35513768,D001519,Behavior,F01,"Behavior and Behavior Mechanisms"
60,15,36939006,D006801,Humans,B01,Eukaryota
61,15,36939006,D012106,Research,H01,"Natural Science Disciplines"
62,15,36939006,D012586,Science,H01,"Natural Science Disciplines"
63,16,36681937,D020869,"Gene Expression Profiling",E05,"Investigative Techniques"
64,16,36681937,D008264,Macrophages,A11,Cells
65,16,36681937,D008264,Macrophages,A15,"Hemic and Immune Systems"
66,16,36681937,D012313,RNA,D13,"Nucleic Acids, Nucleotides, and Nucleosides"
67,17,36934760,D005716,"Game Theory",G17,"Mathematical Concepts"
68,17,36934760,D005075,"Biological Evolution",G05,"Genetic Phenomena"
69,17,36934760,D005075,"Biological Evolution",G16,"Biological Phenomena"
70,17,36934760,D004463,Ecology,H01,"Natural Science Disciplines"
71,17,36934760,D000465,Algorithms,G17,"Mathematical Concepts"
72,17,36934760,D000465,Algorithms,L01,"Information Science"
73,17,36934760,D012984,Software,L01,"Information Science"
74,17,36934760,D003299,"Cooperative Behavior",F01,"Behavior and Behavior Mechanisms"
75,17,36934760,D008962,"Models, Theoretical",E05,"Investigative Techniques"
76,18,36934108,D000818,Animals,B01,Eukaryota
77,18,36934108,D051379,Mice,B01,Eukaryota
78,18,36934108,D059467,Transcriptome,G02,"Chemical Phenomena"
79,18,36934108,D059467,Transcriptome,G05,"Genetic Phenomena"
80,18,36934108,D020869,"Gene Expression Profiling",E05,"Investigative Techniques"
81,18,36934108,D012333,"RNA, Messenger",D13,"Nucleic Acids, Nucleotides, and Nucleosides"
82,19,36933065,D006801,Humans,B01,Eukaryota
83,19,36933065,D045908,Monkeypox,C01,Infections
