id,article_id,domain,repository,hash_dir1,hash_dir2,commit,notebooks_count,setups_count,requirements_count,notebooks,setups,requirements,processed,pipfiles_count,pipfile_locks_count,pipfiles,pipfile_locks
1,1,github.com,ncbi/elastic-blast,98,7dcec6a81a68b9885e96ba7e188c8aec99d86e,eb3575d2fa5a249228678119e9e718b39e5ec1ec,0,1,6,"",setup.py,docker-demo/requirements.txt;docker-blast/requirements.txt;docker-janitor/requirements.txt;docker-job-submit/requirements.txt;docker-qs/requirements.txt;lambda-janitor/requirements.txt,8329,0,0,"",""
2,1,github.com,ncbi/blast_plus_docs,af,85c8abfa970b74e5be0d4cb7da57467fb81d0a,a2150a29a5f97f1a6dc65d8e4ca56827bd2cbeae,0,0,0,"","","",8329,0,0,"",""
3,1,github.com,ncbi/elastic-blast-demos,db,e656ffaf821bc27abe9b352690487f7eb8085e,3dbc7a3c5a42cd092e4921beffa8250b523cf0e5,1,0,1,elastic-blast-rdrp.ipynb,"",requirements.txt,8321,0,0,"",""
4,2,github.com,ge8793/Mammary_Public_Data,be,6fb3684d46ce08fbf16361ed64b1bddaed44a0,3e6f6f115e779a30f7724e12062deb731108f0b9,0,0,0,"","","",8329,0,0,"",""
5,3,github.com,cmives/Ca_selectivity_mechanism_of_TRPV_channels,28,ec53bd3bb557d7852ae9b1b3d3af24630b399e,72d7d96f3e0dbb92cd2cd704fd606205bf892bfc,0,0,0,"","","",8329,0,0,"",""
6,3,github.com,drorlab/pensa,f2,2dc35bf663a70ccb2e205488d23561a161c05d,31beb6c005302ca6cdabed2921138c2a67388b66,1,1,1,tutorial/PENSA_Tutorial_GPCRmd_MOR.ipynb,setup.py,docs/requirements.txt,8321,0,0,"",""
7,4,github.com,briney/nextgen_agbc_paper,b7,3d6bef55129adcf7450eac7f1bb3b210d44f94,30a1158fc854305248713a994aab97f3ef7ec49a,0,0,0,"","","",8329,0,0,"",""
8,5,github.com,predictive-clinical-neuroscience/braincharts,f2,2614f9a4c5bd780af3275392d5f1d95dba8c16,1b0967244ac1af6ff1127831ffc733fe92661a9f,5,0,0,scripts/apply_normative_models_sa.ipynb;scripts/fit_normative_models_ct.ipynb;scripts/apply_normative_models_yeo17.ipynb;scripts/fit_normative_models_yeo17.ipynb;scripts/apply_normative_models_ct.ipynb,"","",8321,0,0,"",""
9,5,github.com,saigerutherford/evidence_embracing_nm,53,1484bbcc98527222a4d3ca3057302e247bc0bb,81a1a1622f3bf1e96c0299b14e5301e05daf7c64,5,0,0,EvaluationFigures.ipynb;svm_groupdiff_ct_yeo.ipynb;regression_hcp_yeo17_ct.ipynb;AgeDistFig.ipynb;connectome_scripts/Average_Vectorize_Connectomes.ipynb,"","",8321,0,0,"",""
10,6,github.com,draeger-lab/pymCADRE,bc,115432e1ab35f6eaa726a0d6b172a4129a4d87,13b3dc9c04804a6d9e01d5fce2bbcce05a303456,8,1,0,PREDICATE.ipynb;pymCADRE_code/code/main_pymcadre.ipynb;pymCADRE_code/code/test_scripts/test_check_module.ipynb;pymCADRE_code/code/test_scripts/test_prune_module_fastFVA.ipynb;pymCADRE_code/code/test_scripts/test_check_model_consistency_module.ipynb;pymCADRE_code/code/test_scripts/python_recon1_with_BOF_and_VBOF__BEC1_method2.ipynb;pymCADRE_code/code/test_scripts/test_prune_model_fastcc.ipynb;pymCADRE_code/code/test_scripts/test_rank_reactions_module.ipynb,setup.py,"",8321,0,0,"",""
11,9,github.com,ICAN-aneurysms/RIA-predict,f0,7d378be8b30aa511a6addea294c6f836b4a5b5,b5a54dffd741642ae44f3919f267e3754340eb6c,6,0,0,notebooks/1-Table-Baseline-Characteristics.ipynb;notebooks/5-Models-comparison.ipynb;notebooks/3-Logistic-Regression-Model.ipynb;notebooks/0-Clinical-data-simulator.ipynb;notebooks/2-Factor-Analysis-for-Mixed-Data.ipynb;notebooks/4-Random-Forest-Model.ipynb,"","",8321,0,0,"",""
12,9,github.com,r-blanchet/BAM_QC,dc,abb1dee2d10e98442d7259e4798891a06171f7,77c981100834d2fe2adacc32abb3d9fa475763e8,0,0,0,"","","",8329,0,0,"",""
13,9,github.com,mdjaffardjy/Snakemake_workflow_analysis,5b,a50504be86f87e758764cc7f132a23e0c76398,49a03e28e97e129e4debf68e539cc454c3eef06f,0,0,0,"","","",8329,0,0,"",""
14,9,github.com,mdjaffardjy/AnalyseDonneesNextflow,06,692be435094464d6779ec93c17e34c5f74bf17,1a03b9b88da238d430f577f65c39f4377375edcb,3,3,0,"Analysis/Similarity Processes/mesure_similarity.ipynb;Analysis/Form DSL1 Database/form_database.ipynb;Analysis/Distribution DSL1 DSL2/distribution.ipynb","setup.py;BDD/setup.py;Analysis/Similarity Processes/setup.py","",8321,0,0,"",""
15,9,github.com,mdjaffardjy/Reuse_in_processes,fa,7619aa4511b065b47d8f4ac0c6430ac5a9f498,ea61197386d51e9aa3ef189419c6915d8ff211bb,2,0,0,notebook/group_patterns_proc.ipynb;notebook/Figures_reuse_processes_simil_wf.ipynb,"","",8321,0,0,"",""
