title,doi,method,methodLabel
Phase Portraits of Bi-dimensional Zeta Values,10.1007/978-3-030-52200-1_39,https://portal.mardi4nfdi.de/entity/Q17941,mpmath
Phase Portraits of Bi-dimensional Zeta Values,10.1007/978-3-030-52200-1_39,https://portal.mardi4nfdi.de/entity/Q33077,Jupyter
Phase Portraits of Bi-dimensional Zeta Values,10.1007/978-3-030-52200-1_39,https://portal.mardi4nfdi.de/entity/Q34954,GitHub
Phase Portraits of Bi-dimensional Zeta Values,10.1007/978-3-030-52200-1_39,https://portal.mardi4nfdi.de/entity/Q54519,ipywidgets
Seminator 2 can complement generalized Büchi automata via improved semi-determinization,10.1007/978-3-030-53291-8_2,https://portal.mardi4nfdi.de/entity/Q21456,SPOT
Polymake.jl: A New Interface to polymake,10.1007/978-3-030-52200-1_37,https://portal.mardi4nfdi.de/entity/Q13478,polymake
Polymake.jl: A New Interface to polymake,10.1007/978-3-030-52200-1_37,https://portal.mardi4nfdi.de/entity/Q19386,alphaCertified
Polymake.jl: A New Interface to polymake,10.1007/978-3-030-52200-1_37,https://portal.mardi4nfdi.de/entity/Q25895,Julia
Polymake.jl: A New Interface to polymake,10.1007/978-3-030-52200-1_37,https://portal.mardi4nfdi.de/entity/Q33896,HomotopyContinuation
FunGrim: A Symbolic Library for Special Functions,10.1007/978-3-030-52200-1_31,https://portal.mardi4nfdi.de/entity/Q13684,SymPy
