fj_article,wikidata,wikidata_label,DOI
https://w3id.org/reproduceme/article_1130,http://www.wikidata.org/entity/Q111150072,High-throughput qPCR and 16S rRNA gene amplicon sequencing as complementary methods for the investigation of the cheese microbiota,10.1186/S12866-022-02451-Y
https://w3id.org/reproduceme/article_1308,http://www.wikidata.org/entity/Q111149763,Accessible data curation and analytics for international-scale citizen science datasets,10.1038/S41597-021-01071-X
https://w3id.org/reproduceme/article_2980,http://www.wikidata.org/entity/Q56394784,Digital open science-Teaching digital tools for reproducible and transparent research,10.1371/JOURNAL.PBIO.2006022
https://w3id.org/reproduceme/article_1621,http://www.wikidata.org/entity/Q108126956,Analysis of single-cell RNA sequencing data based on autoencoders,10.1186/S12859-021-04150-3
https://w3id.org/reproduceme/article_2309,http://www.wikidata.org/entity/Q96174096,Perspective: Towards Automated Tracking of Content and Evidence Appraisal of Nutrition Research,10.1093/ADVANCES/NMAA057
https://w3id.org/reproduceme/article_1592,http://www.wikidata.org/entity/Q108127119,Improved normalization of lesioned brains via cohort-specific templates,10.1002/HBM.25474
https://w3id.org/reproduceme/article_2877,http://www.wikidata.org/entity/Q60919258,A scientometric review of genome-wide association studies,10.1038/S42003-018-0261-X
https://w3id.org/reproduceme/article_50,http://www.wikidata.org/entity/Q117886103,Effective Connectivity and Bias Entropy Improve Prediction of Dynamical Regime in Automata Networks,10.3390/E25020374
https://w3id.org/reproduceme/article_1864,http://www.wikidata.org/entity/Q111149960,A PyMOL Snippet Library for Jupyter to Boost Researcher Productivity,10.1109/MCSE.2021.3059536
https://w3id.org/reproduceme/article_1333,http://www.wikidata.org/entity/Q111150950,Direct Approach or Detour: A Comparative Model of Inhibition and Neural Ensemble Size in Behavior Selection,10.3389/FNSYS.2021.752219
https://w3id.org/reproduceme/article_306,http://www.wikidata.org/entity/Q125346586,FAIR principles for AI models with a practical application for accelerated high energy diffraction microscopy,10.1038/S41597-022-01712-9
https://w3id.org/reproduceme/article_2460,http://www.wikidata.org/entity/Q89819018,Serial protein crystallography in an electron microscope,10.1038/S41467-020-14793-0
https://w3id.org/reproduceme/article_1492,http://www.wikidata.org/entity/Q112287601,Clinical coding of long COVID in English primary care: a federated analysis of 58 million patient records <i>in situ</i> using OpenSAFELY,10.3399/BJGP.2021.0301
https://w3id.org/reproduceme/article_1011,http://www.wikidata.org/entity/Q112284003,Mobile origin-licensing factors confer resistance to conflicts with RNA polymerase,10.1016/J.CELREP.2022.110531
https://w3id.org/reproduceme/article_1635,http://www.wikidata.org/entity/Q108126994,An analysis of security vulnerabilities in container images for scientific data analysis,10.1093/GIGASCIENCE/GIAB025
https://w3id.org/reproduceme/article_1985,http://www.wikidata.org/entity/Q104560519,Flow-Data Gathering Using NetFlow Sensors for Fitting Malicious-Traffic Detection Models,10.3390/S20247294
https://w3id.org/reproduceme/article_603,http://www.wikidata.org/entity/Q114027832,Machine Learning Algorithm to Predict Obstructive Coronary Artery Disease: Insights from the CorLipid Trial,10.3390/METABO12090816
https://w3id.org/reproduceme/article_725,http://www.wikidata.org/entity/Q113205253,Building International Capacity for Citizen Scientist Engagement in Mosquito Surveillance and Mitigation: The GLOBE Program’s GLOBE Observer Mosquito Habitat Mapper,10.3390/INSECTS13070624
https://w3id.org/reproduceme/article_3175,http://www.wikidata.org/entity/Q38600105,Data-analysis strategies for image-based cell profiling.,10.1038/NMETH.4397
https://w3id.org/reproduceme/article_856,http://www.wikidata.org/entity/Q125343091,Chord: an ensemble machine learning algorithm to identify doublets in single-cell RNA sequencing data,10.1038/S42003-022-03476-9
https://w3id.org/reproduceme/article_2091,http://www.wikidata.org/entity/Q102325454,On the generation of periodic discrete structures with identical two-point correlation,10.1098/RSPA.2020.0568
https://w3id.org/reproduceme/article_293,http://www.wikidata.org/entity/Q125342324,Deep learning to decompose macromolecules into independent Markovian domains,10.1038/S41467-022-34603-Z
https://w3id.org/reproduceme/article_1177,http://www.wikidata.org/entity/Q111150095,Behind every great research project is great data management,10.1186/S13104-022-05908-5
https://w3id.org/reproduceme/article_2685,http://www.wikidata.org/entity/Q91962237,MolNetEnhancer: Enhanced Molecular Networks by Integrating Metabolome Mining and Annotation Tools,10.3390/METABO9070144
https://w3id.org/reproduceme/article_2770,http://www.wikidata.org/entity/Q64096822,pysradb: A Python package to query next-generation sequencing metadata and data from NCBI Sequence Read Archive,10.12688/F1000RESEARCH.18676.1
https://w3id.org/reproduceme/article_1278,http://www.wikidata.org/entity/Q111150324,Water tank and swimming pool detection based on remote sensing and deep learning: Relationship with socioeconomic level and applications in dengue control,10.1371/JOURNAL.PONE.0258681
https://w3id.org/reproduceme/article_294,http://www.wikidata.org/entity/Q125342683,Fast-forwarding evolution—Accelerated adaptation in a proofreading-deficient hypermutator herpesvirus,10.1093/VE/VEAC099
https://w3id.org/reproduceme/article_1995,http://www.wikidata.org/entity/Q103048188,Perturbing the energy landscape for improved packing during computational protein design,10.1002/PROT.26030
https://w3id.org/reproduceme/article_1594,http://www.wikidata.org/entity/Q125343620,Quantitative analysis of mitochondrial ATP synthesis,10.1016/J.MBS.2021.108646
https://w3id.org/reproduceme/article_1996,http://www.wikidata.org/entity/Q100485691,LipidFinder 2.0: advanced informatics pipeline for lipidomics discovery applications,10.1093/BIOINFORMATICS/BTAA856
https://w3id.org/reproduceme/article_623,http://www.wikidata.org/entity/Q125343890,Binocular visual experience drives the maturation of response variability and reliability in the visual cortex,10.1016/J.ISCI.2022.104984
https://w3id.org/reproduceme/article_2399,http://www.wikidata.org/entity/Q93166938,Microbiotyping the Sinonasal Microbiome,10.3389/FCIMB.2020.00137
https://w3id.org/reproduceme/article_3050,http://www.wikidata.org/entity/Q53071822,Biology Needs Evolutionary Software Tools: Let's Build Them Right.,10.1093/MOLBEV/MSY084
https://w3id.org/reproduceme/article_2579,http://www.wikidata.org/entity/Q91261958,Genomics of host-pathogen interactions: challenges and opportunities across ecological and spatiotemporal scales,10.7717/PEERJ.8013
https://w3id.org/reproduceme/article_1665,http://www.wikidata.org/entity/Q111149811,Random heterogeneity outperforms design in network synchronization,10.1073/PNAS.2024299118
https://w3id.org/reproduceme/article_3208,http://www.wikidata.org/entity/Q35065468,The Image Data Resource: A Bioimage Data Integration and Publication Platform,10.1038/NMETH.4326
https://w3id.org/reproduceme/article_520,http://www.wikidata.org/entity/Q125342589,De novo design of immunoglobulin-like domains,10.1038/S41467-022-33004-6
https://w3id.org/reproduceme/article_1831,http://www.wikidata.org/entity/Q104558740,Integrative Single-Cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Hematopoiesis,10.1016/J.STEM.2020.11.015
