fj_article,wikidata,wikidata_label,pmc
https://w3id.org/reproduceme/article_3244,http://www.wikidata.org/entity/Q30491149,Meet Spinky: An Open-Source Spindle and K-Complex Detection Toolbox Validated on the Open-Access Montreal Archive of Sleep Studies (MASS).,5332402
https://w3id.org/reproduceme/article_2712,http://www.wikidata.org/entity/Q93088604,A novel host-adapted strain of Salmonella Typhimurium causes renal disease in olive ridley turtles (Lepidochelys olivacea) in the Pacific,6597722
https://w3id.org/reproduceme/article_1956,http://www.wikidata.org/entity/Q108126755,Rapid discovery of novel prophages using biological feature engineering and machine learning,7787355
https://w3id.org/reproduceme/article_1150,http://www.wikidata.org/entity/Q111322094,Visualisation of proteome-wide ordered protein abundances in <i>Trypanosoma brucei</i>,8889043
https://w3id.org/reproduceme/article_2860,http://www.wikidata.org/entity/Q61443014,"Calour: an Interactive, Microbe-Centric Analysis Tool",6351725
https://w3id.org/reproduceme/article_3225,http://www.wikidata.org/entity/Q28589279,COMPASS: Continuous Open Mouse Phenotyping of Activity and Sleep Status,5140024
https://w3id.org/reproduceme/article_3177,http://www.wikidata.org/entity/Q57152521,"The genomic basis of cichlid fish adaptation within the deepwater ""twilight zone"" of Lake Malawi",6124600
https://w3id.org/reproduceme/article_2663,http://www.wikidata.org/entity/Q55069979,CyTargetLinker app update: A flexible solution for network extension in Cytoscape,6707396
https://w3id.org/reproduceme/article_2663,http://www.wikidata.org/entity/Q94028784,CyTargetLinker app update: A flexible solution for network extension in Cytoscape,6707396
https://w3id.org/reproduceme/article_2907,http://www.wikidata.org/entity/Q57471994,Community profiling of the urinary microbiota: considerations for low-biomass samples,6352978
https://w3id.org/reproduceme/article_2347,http://www.wikidata.org/entity/Q91872977,One thing leads to another: anticipating visual object identity based on associative-memory templates,7219293
https://w3id.org/reproduceme/article_2675,http://www.wikidata.org/entity/Q92215687,"The nPYc-Toolbox, a Python module for the pre-processing, quality-control and analysis of metabolic profiling datasets",6954639
https://w3id.org/reproduceme/article_1975,http://www.wikidata.org/entity/Q104618701,FLIMJ: An open-source ImageJ toolkit for fluorescence lifetime image data analysis,7773231
https://w3id.org/reproduceme/article_3076,http://www.wikidata.org/entity/Q47554186,Machine learning and data mining advance predictive big data analysis in precision animal agriculture,6140937
https://w3id.org/reproduceme/article_2883,http://www.wikidata.org/entity/Q64119063,Dermal Condensate Niche Fate Specification Occurs Prior to Formation and Is Placode Progenitor Dependent,6370312
https://w3id.org/reproduceme/article_3178,http://www.wikidata.org/entity/Q42696753,Efficient Inference for Sparse Latent Variable Models of Transcriptional Regulation,5860323
https://w3id.org/reproduceme/article_899,http://www.wikidata.org/entity/Q112283245,In vitro reconstitution of Escherichia coli divisome activation,9098913
https://w3id.org/reproduceme/article_2686,http://www.wikidata.org/entity/Q91936560,Cerebellar disruption impairs working memory during evidence accumulation,6635393
https://w3id.org/reproduceme/article_2942,http://www.wikidata.org/entity/Q58581940,An Image Analysis Pipeline to Quantify Emerging Cracks in Materials or Adhesion Defects in Living Tissues,6218008
https://w3id.org/reproduceme/article_3153,http://www.wikidata.org/entity/Q46791659,Guiding longitudinal sampling in IBD cohorts,6109279
https://w3id.org/reproduceme/article_2296,http://www.wikidata.org/entity/Q96644597,A community-maintained standard library of population genetic models,7438115
https://w3id.org/reproduceme/article_1843,http://www.wikidata.org/entity/Q104286518,Image-based machine learning algorithms for disease characterization in the human type 1 diabetes pancreas,7919855
https://w3id.org/reproduceme/article_2483,http://www.wikidata.org/entity/Q89965870,A Phylogenomic Perspective on Evolution and Discordance in the Alpine-Arctic Plant Clade Micranthes (Saxifragaceae),7020907
https://w3id.org/reproduceme/article_2127,http://www.wikidata.org/entity/Q101053897,OpSeF: Open Source Python Framework for Collaborative Instance Segmentation of Bioimages,7576117
https://w3id.org/reproduceme/article_2401,http://www.wikidata.org/entity/Q91739152,Hierarchical clustering of MS/MS spectra from the firefly metabolome identifies new lucibufagin compounds,7142086
https://w3id.org/reproduceme/article_1987,http://www.wikidata.org/entity/Q104500063,Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data,7897250
https://w3id.org/reproduceme/article_1856,http://www.wikidata.org/entity/Q107507552,Ten simple rules for navigating the computational aspect of an interdisciplinary PhD,7891742
https://w3id.org/reproduceme/article_1880,http://www.wikidata.org/entity/Q108126950,Optimization of negative stage bias potential for faster imaging in large-scale electron microscopy,7973379
https://w3id.org/reproduceme/article_3089,http://www.wikidata.org/entity/Q50417049,AxonDeepSeg: automatic axon and myelin segmentation from microscopy data using convolutional neural networks,5830647
https://w3id.org/reproduceme/article_995,http://www.wikidata.org/entity/Q112283894,Rapid parameter estimation for selective inversion recovery myelin imaging using an open-source Julia toolkit,8973461
https://w3id.org/reproduceme/article_3157,http://www.wikidata.org/entity/Q42695763,An Architecture for Genomics Analysis in a Clinical Setting Using Galaxy and Docker,5691353
https://w3id.org/reproduceme/article_1570,http://www.wikidata.org/entity/Q108127117,Knowledge and Attitudes Among Life Scientists Toward Reproducibility Within Journal Articles: A Research Survey,8276979
https://w3id.org/reproduceme/article_2581,http://www.wikidata.org/entity/Q91089229,Bayesian inference of metabolic kinetics from genome-scale multiomics data,6855570
https://w3id.org/reproduceme/article_1931,http://www.wikidata.org/entity/Q108127101,Genetics of 35 blood and urine biomarkers in the UK Biobank,7867639
https://w3id.org/reproduceme/article_1022,http://www.wikidata.org/entity/Q112284215,Extracting quantitative dielectric properties from pump-probe spectroscopy,8931171
https://w3id.org/reproduceme/article_1970,http://www.wikidata.org/entity/Q112289191,Reproducible Quantitative Stimulation Allows New Analysis of Crayfish Muscle Receptor Organ Responses,8040843
https://w3id.org/reproduceme/article_2603,http://www.wikidata.org/entity/Q90734022,Inferring putative transmission clusters with Phydelity,6785678
https://w3id.org/reproduceme/article_1665,http://www.wikidata.org/entity/Q111149811,Random heterogeneity outperforms design in network synchronization,8166160
https://w3id.org/reproduceme/article_1596,http://www.wikidata.org/entity/Q108127194,Identification and Evolution of Cas9 tracrRNAs,8336202
https://w3id.org/reproduceme/article_2426,http://www.wikidata.org/entity/Q108123995,"Reproducibility is a Process, Not an Achievement: The Replicability of IR Reproducibility Experiments",7148033
https://w3id.org/reproduceme/article_2771,http://www.wikidata.org/entity/Q64098080,Deep convolutional models improve predictions of macaque V1 responses to natural images,6499433
https://w3id.org/reproduceme/article_2487,http://www.wikidata.org/entity/Q112283443,QSAR modeling of the toxicity classification of superparamagnetic iron oxide nanoparticles (SPIONs) in stem-cell monitoring applications: an integrated study from data curation to model development,9049038
https://w3id.org/reproduceme/article_2662,http://www.wikidata.org/entity/Q93046877,"Reachy, a 3D-Printed Human-Like Robotic Arm as a Testbed for Human-Robot Control Strategies",6703080
https://w3id.org/reproduceme/article_1011,http://www.wikidata.org/entity/Q112284003,Mobile origin-licensing factors confer resistance to conflicts with RNA polymerase,8961423
https://w3id.org/reproduceme/article_3111,http://www.wikidata.org/entity/Q47872629,Mouse color and wavelength-specific luminance contrast sensitivity are non-uniform across visual space.,5762155
https://w3id.org/reproduceme/article_2701,http://www.wikidata.org/entity/Q92059305,A proposed update for the classification and description of bacterial lipolytic enzymes,6622161
https://w3id.org/reproduceme/article_2584,http://www.wikidata.org/entity/Q91068895,FAIRshake: Toolkit to Evaluate the FAIRness of Research Digital Resources,7316196
https://w3id.org/reproduceme/article_1707,http://www.wikidata.org/entity/Q108127036,Competitive Deep Learning Methods for COVID-19 Detection using X-ray Images,8080211
https://w3id.org/reproduceme/article_1651,http://www.wikidata.org/entity/Q108127410,Theta Oscillations Gate the Transmission of Reliable Sequences in the Medial Entorhinal Cortex,8208650
https://w3id.org/reproduceme/article_2089,http://www.wikidata.org/entity/Q100939945,Ten simple rules for biologists initiating a collaboration with computer scientists,7580977
https://w3id.org/reproduceme/article_2611,http://www.wikidata.org/entity/Q90909955,Comparative RNA-seq analysis aids in diagnosis of a rare pediatric tumor,6824255
https://w3id.org/reproduceme/article_832,http://www.wikidata.org/entity/Q120490964,Precise CRISPR-Cas-mediated gene repair with minimal off-target and unintended on-target mutations in human hematopoietic stem cells,9166625
https://w3id.org/reproduceme/article_2462,http://www.wikidata.org/entity/Q89811314,Competition experiments in a soil microcosm reveal the impact of genetic and biotic factors on natural yeast populations,7242384
https://w3id.org/reproduceme/article_3325,http://www.wikidata.org/entity/Q30276646,An Introduction to Programming for Bioscientists: A Python-Based Primer,4896647
https://w3id.org/reproduceme/article_3199,http://www.wikidata.org/entity/Q38675875,"A wellness study of 108 individuals using personal, dense, dynamic data clouds",5568837
https://w3id.org/reproduceme/article_1859,http://www.wikidata.org/entity/Q107540348,PartSeg: a tool for quantitative feature extraction from 3D microscopy images for dummies,7890960
https://w3id.org/reproduceme/article_3312,http://www.wikidata.org/entity/Q39618237,TREMOR12: An Open-Source Mobile App for Tremor Quantification,5296883
https://w3id.org/reproduceme/article_3274,http://www.wikidata.org/entity/Q28554812,Stochastic Simulation Service: Bridging the Gap between the Computational Expert and the Biologist,5145134
https://w3id.org/reproduceme/article_2595,http://www.wikidata.org/entity/Q83227766,Genetically diverse uropathogenic adopt a common transcriptional program in patients with UTIs,6802966
https://w3id.org/reproduceme/article_3056,http://www.wikidata.org/entity/Q53069920,"pyBadlands: A framework to simulate sediment transport, landscape dynamics and basin stratigraphic evolution through space and time.",5896951
https://w3id.org/reproduceme/article_2783,http://www.wikidata.org/entity/Q64068082,"Stytra: An open-source, integrated system for stimulation, tracking and closed-loop behavioral experiments",6472806
https://w3id.org/reproduceme/article_2772,http://www.wikidata.org/entity/Q64096530,The Spectrum of Asynchronous Dynamics in Spiking Networks as a Model for the Diversity of Non-rhythmic Waking States in the Neocortex,6486483
