created_year,language,notebook_count
2010,python,58
2010,unknown,3
2011,python,40
2011,unknown,6
2012,python,182
2012,unknown,25
2013,Clojure,7
2013,Groovy,94
2013,Java,7
2013,Java11,5
2013,Kotlin,6
2013,R,49
2013,Scala,29
2013,julia,41
2013,matlab,123
2013,python,363
2013,unknown,298
2014,R,1
2014,java,1
2014,matlab,1
2014,python,925
2014,sas,1
2014,scheme,1
2014,unknown,158
2015,R,5
2015,python,1036
2015,unknown,74
2016,R,50
2016,bash,1
2016,julia,11
2016,octave,1
2016,python,1347
2016,sos,24
2016,unknown,94
2017,R,48
2017,bash,11
2017,julia,2
2017,matlab,3
2017,python,1701
2017,scijava,7
2017,unknown,210
2018,Groovy,1
2018,Java,1
2018,R,138
2018,bash,10
2018,c++,7
2018,julia,85
2018,octave,6
2018,python,2923
2018,unknown,304
2019,R,294
2019,bash,8
2019,julia,18
2019,matlab,4
2019,python,4124
2019,sqlite3,3
2019,unknown,164
2020,R,139
2020,bash,4
2020,julia,34
2020,matlab,1
2020,python,5855
2020,ruby,1
2020,sos,5
2020,unknown,1691
2021,R,97
2021,julia,47
2021,matlab,2
2021,python,2802
2021,python3.9,1
2021,unknown,63
2022,R,69
2022,bash,2
2022,javascript,1
2022,julia,57
2022,lua,3
2022,p5js,1
2022,python,1190
2022,sqlite3,1
2022,unknown,22
2022,wren,1
2023,R,1
2023,python,21
