created_year,minor_version,count_minor_version
2010,3.4,27
2010,3.6,27
2010,3.7,1
2010,3.8,2
2010,3.9,1
2011,2.7,2
2011,3.1,2
2011,3.4,2
2011,3.6,3
2011,3.7,21
2011,3.8,4
2011,3.9,6
2012,2.7,4
2012,3.1,120
2012,3.4,3
2012,3.5,16
2012,3.6,4
2012,3.7,28
2012,3.8,4
2012,3.9,3
2013,2.7,41
2013,3.1,2
2013,3.4,42
2013,3.5,34
2013,3.6,27
2013,3.7,65
2013,3.8,59
2013,3.9,53
2013,unk,40
2014,2.7,436
2014,3.4,19
2014,3.5,58
2014,3.6,70
2014,3.7,30
2014,3.8,12
2014,3.9,6
2014,unk,294
2015,2.7,303
2015,3.1,123
2015,3.4,25
2015,3.5,110
2015,3.6,142
2015,3.7,136
2015,3.8,79
2015,3.9,90
2015,unk,28
2016,2.7,374
2016,3.1,35
2016,3.4,38
2016,3.5,211
2016,3.6,244
2016,3.7,216
2016,3.8,119
2016,3.9,57
2016,unk,53
2017,2.7,323
2017,3.1,37
2017,3.4,32
2017,3.5,236
2017,3.6,527
2017,3.7,228
2017,3.8,164
2017,3.9,144
2017,unk,9
2018,2.7,256
2018,3.1,34
2018,3.4,12
2018,3.5,189
2018,3.6,1289
2018,3.7,520
2018,3.8,204
2018,3.9,123
2018,unk,295
2019,2.7,164
2019,3.1,50
2019,3.4,22
2019,3.5,217
2019,3.6,1451
2019,3.7,1335
2019,3.8,489
2019,3.9,351
2019,unk,45
2020,2.7,92
2020,3.1,54
2020,3.4,2
2020,3.5,65
2020,3.6,808
2020,3.7,3763
2020,3.8,711
2020,3.9,304
2020,unk,29
2021,2.7,80
2021,3.1,52
2021,3.4,12
2021,3.5,26
2021,3.6,501
2021,3.7,1012
2021,3.8,763
2021,3.9,238
2021,unk,118
2022,2.7,2
2022,3.1,80
2022,3.4,1
2022,3.5,8
2022,3.6,117
2022,3.7,312
2022,3.8,409
2022,3.9,219
2022,unk,42
2023,3.6,1
2023,3.8,5
2023,3.9,14
2023,unk,1
